Task ID,Task,ONET code,Unique Code,RAI_Type,RAI_Code,Application_Grouping,Application_Grouping_Code,Hydropower_Application_Code,Hydropower Application,RAI Technology Detail,Primary Performer,Performer capability,PR,Supporter,Supporter role,SR,Automation,Requirement,Performance,Limitations,Citation,Publication Year,Input Job Title,ONET Title,Additional Occupation Titles
13958,"Inspect, operate, and test completed and in-process products to verify functioning, machine capabilities, or conformance to customer specifications, or to identify faults and prevent defects.",51-2031.00,120.1.019,Machine Learning (ML),120,Energy Management and Market-Oriented Optimization,1,019,Detect deviations from expected plant efficiency and identify inefficient operating conditions.,Data-driven efficiency analysis software (HydEA),RAI,G,G,Human,Y,Y,8,Plant operating data; analytics platform; performance reference models,Annual production increase of ~1.2% without new infrastructure,Relies on availability of high-quality historical and real-time data,"Quaranta, E.et al.",2020,Assembler and Fabricator,Engine and Other Machine Assemblers,Assembler and Fabricator
13958,"Inspect, operate, and test completed and in-process products to verify functioning, machine capabilities, or conformance to customer specifications, or to identify faults and prevent defects.",51-2031.00,420.4.053,Robotics - ROV,420,Intelligent Security and Condition Monitoring,4,053,"Inspect hydropower generation equipment and structures to identify physical defects, wear, or abnormal conditions without requiring human entry into hazardous environments.",Robotic inspection systems with remote operation and sensor-based perception,Human,O/Y,O,RAI,O/Y,O,2,"Inspection robots (crawler, legged, underwater), visual cameras, infrared sensors, sonar, remote control stations","Robots enabled in-situ inspection of generators, dams, and underwater structures, reducing the need for shutdowns and manual inspection",Limited autonomy; many systems rely on tele-operation; deployment constrained by complex geometries and harsh environments,Wu 2014; Liu et al. 2011; Li et al. 2014; Li et al. 2016,2016,Assembler and Fabricator,Engine and Other Machine Assemblers,Assembler and Fabricator
13958,"Inspect, operate, and test completed and in-process products to verify functioning, machine capabilities, or conformance to customer specifications, or to identify faults and prevent defects.",51-2031.00,410.4.052,Robotics (Six-rotor UAV),410,Intelligent Security and Condition Monitoring,4,052,Inspect hydropower diversion pipelines to assess geometric integrity and support detection of structural defects.,Autonomous UAV-based inspection using 3D lidar point-cloud modeling and geometric fitting,RAI,G,G,Human,Y (validation and interpretation improve reliability),Y,8,Six-rotor UAV platform; 3D lidar; IMU; barometer; onboard computing; point-cloud processing pipeline implementing robust cylinder-like fitting (RCFIC),"Field tests showed >90% interior-point fitting accuracy across horizontal, oblique, and curved pipeline segments; fitted radii closely matched true pipe radius (~6.2 m)",Does not directly identify corrosion or cracks; inspection quality depends on point-cloud completeness and sensor noise,"Zhan, Q.; Zhang, J.; Sun, C.; Guo, F.; Zhao, X.; Gao, C.; Yang, L.; Shen, R.; He, B.",2024,Assembler and Fabricator,Engine and Other Machine Assemblers,Assembler and Fabricator
13958,"Inspect, operate, and test completed and in-process products to verify functioning, machine capabilities, or conformance to customer specifications, or to identify faults and prevent defects.",51-2031.00,410.4.055,Unmanned Aerial Vehicles,410,Intelligent Security and Condition Monitoring,4,055,"Inspect overhead transmission line components to identify physical defects, wear, or abnormal conditions affecting line integrity.","Mobile robotic inspection and close-range sensing (line-mounted robots, UAV-assisted inspection)",Human,O/Y,O,RAI,O/Y,O,2,"Line-mounted robots or UAVs, visual and infrared cameras, traversal mechanisms, ground control systems","Applied on 220–500 kV lines; detected defects in insulators, conductors, fittings, and icing conditions; reduced labor intensity and safety risk",Traversability challenges on complex line configurations; weather sensitivity; partial autonomy in many systems,Zhang et al. 2013; Guo et al. 2013; Rui et al. 2014; Zhong et al. 2014,2014,Assembler and Fabricator,Engine and Other Machine Assemblers,Assembler and Fabricator
13958,"Inspect, operate, and test completed and in-process products to verify functioning, machine capabilities, or conformance to customer specifications, or to identify faults and prevent defects.",51-2031.00,400.4.056,Robotics,400,Intelligent Security and Condition Monitoring,4,056,"Inspect underwater diversion tunnels and pipelines to identify structural defects such as cracks, displacements, and material loss.",Long-distance tunnel ROV,RAI,G,G,Human,Y (supervision improves reliability),Y,8,Long-cable ROV; surface monitoring system; 3D sonar; high-sensitivity camera; image enhancement pipeline,"Accurate detection of cracks, shifting, and attachments in long, enclosed tunnels under flowing and muddy water",Interpretation of inspection results still requires human judgment; limited by sensor resolution,"Ouyang, J.; Huang, Q.; Yang, X.",2022,Assembler and Fabricator,Engine and Other Machine Assemblers,Assembler and Fabricator
13958,"Inspect, operate, and test completed and in-process products to verify functioning, machine capabilities, or conformance to customer specifications, or to identify faults and prevent defects.",51-2031.00,124.2.027,Deep Learning,124,Equipment Fault Diagnosis and Predictive Maintenance,2,027,"Diagnose equipment fault types, severity, and affected components based on detected operational anomalies.",Latent-space clustering and reconstruction-error analysis for fault severity assessment,Human,G,G,RAI,G (efficiency and sensitivity improvement),G,1,Same sensing infrastructure; trained VAE models; visualization of 2D latent space,Clear clustering of healthy vs. faulty states; monotonic trend in latent-space barycenters with increasing fault severity,Diagnosis demonstrated for specific fault types (ITSC); generalization to other faults requires retraining and validation,"Bechara, Helene; Ibrahim, Rony; Tahan, Antoine; Zemouri, Ryad; Merkhouf, Arezki; Kedjar, Bachir; Al-Haddad, Kamal",2024,Assembler and Fabricator,Engine and Other Machine Assemblers,Assembler and Fabricator
13958,"Inspect, operate, and test completed and in-process products to verify functioning, machine capabilities, or conformance to customer specifications, or to identify faults and prevent defects.",51-2031.00,200.2.077,Digital Twins,200,Equipment Fault Diagnosis and Predictive Maintenance,2,077,Monitor the operating condition of giant hydropower units to detect anomalies and identify equipment faults.,Digital-twin-enabled condition monitoring with deep-learning-based anomaly detection and fault diagnosis,RAI,G,G,Human,Y (validation and response improve reliability),Y,8,"Multi-source sensors on turbine, generator, bearings, and auxiliary systems; DT platform; CNN–LSTM models; data preprocessing and visualization modules","Fault detection accuracy increased from ~74–80% (traditional) to ~90–96%; higher recall, F1, stability, and faster processing time than DAE-AT baseline",Requires large volumes of high-quality labeled data; performance may degrade with noisy or sparse data; real-time capability needs further optimization,"Wang, Wei; Feng, Lihang; Xi, Qiang; Liu, Feng",2025,Assembler and Fabricator,Engine and Other Machine Assemblers,Assembler and Fabricator
13958,"Inspect, operate, and test completed and in-process products to verify functioning, machine capabilities, or conformance to customer specifications, or to identify faults and prevent defects.",51-2031.00,122.2.076,Unsupervised ML,122,Equipment Fault Diagnosis and Predictive Maintenance,2,076,Monitor operating conditions of hydropower plant equipment to detect deviations from nominal behavior.,Unsupervised machine-learning-based condition monitoring using a self-organizing map (SOM)–derived key performance indicator (KPI),RAI,G,G,Human,Y(validation and response improve reliability),Y,8,Large-scale sensor networks (≈600 analog signals); SCADA data; SOM neural network; KPI computation and thresholding; online monitoring infrastructure,"Detected >20 anomalous situations over ~16 months; identified anomalies earlier than Hotelling T² charts, in one case by ~20 days",Requires extensive data preprocessing; KPI thresholds require operator feedback; not fully unsupervised,"Betti, A.; Crisostomi, E.; Paolinelli, G.; Piazzi, A.; Ruffini, F.; Tucci, M.",2021,Assembler and Fabricator,Engine and Other Machine Assemblers,Assembler and Fabricator
12331,"Examine and test electrical power distribution machinery and equipment, using testing devices.",51-8013.00,124.2.027,Deep Learning,124,Equipment Fault Diagnosis and Predictive Maintenance,2,027,"Diagnose equipment fault types, severity, and affected components based on detected operational anomalies.",Latent-space clustering and reconstruction-error analysis for fault severity assessment,Human,G,G,RAI,G (efficiency and sensitivity improvement),G,1,Same sensing infrastructure; trained VAE models; visualization of 2D latent space,Clear clustering of healthy vs. faulty states; monotonic trend in latent-space barycenters with increasing fault severity,Diagnosis demonstrated for specific fault types (ITSC); generalization to other faults requires retraining and validation,"Bechara, Helene; Ibrahim, Rony; Tahan, Antoine; Zemouri, Ryad; Merkhouf, Arezki; Kedjar, Bachir; Al-Haddad, Kamal",2024,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12331,"Examine and test electrical power distribution machinery and equipment, using testing devices.",51-8013.00,300.4.068,Internet of Things (IoT),300,Intelligent Security and Condition Monitoring,4,068,Monitor hydropower generator and transformer operating conditions remotely to identify abnormal trends affecting reliability.,Remote condition monitoring via connected sensing and control systems,Human,G,G,RAI,G,G,1,"Integrated sensor networks, PLC–SCADA systems, centralized monitoring platforms",Supported early recognition of abnormal operating behavior and informed maintenance decisions; reduced risk of forced outages,Trend interpretation remains expert-driven; no automated anomaly detection,"Leguizamon-Perilla, A.; Rodriguez-Bernal, J.S.; Moralez-Cruz, L.; Farfán-Martinez, N.I.; Nieto-Londoño, C.; Vásquez, R.E.; Escudero-Atehortua, A.",2023,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12331,"Examine and test electrical power distribution machinery and equipment, using testing devices.",51-8013.00,100.2.021,Artificial Intelligence (AI),100,Equipment Fault Diagnosis and Predictive Maintenance,2,021,Detect operating conditions consistent with equipment faults in hydropower plants to support timely maintenance response.,Unsupervised machine-learning–based fault and anomaly detection combined with multivariate statistical monitoring,RAI,G,G,Human,O (expert validation required before action),O,7,"• Plant-mounted sensors measuring vibration, bearing metal temperature, bearing oil temperature, and active power
• Data acquisition and monitoring systems (e.g., SCADA or equivalent)
• Computing environment for continuous or periodic data analytics and model inference","• Successfully identified fault periods in two real hydropower plants using operational data
• Fault indicators exceeded control limits during known fault events, aligning with manually recorded maintenance logs
• In some cases, abnormal conditions were detected hours before manual fault recognition","• Validation limited to two plants and a relatively short observation period
• Requires representative nominal (fault-free) data for training
• Does not identify physical root causes or specific faulty components
• Final fault confirmation and maintenance decisions remain human-driven","Hajimohammadali, F.; Fontana, N.; Tucci, M.; Crisostomi, E.",2023,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12331,"Examine and test electrical power distribution machinery and equipment, using testing devices.",51-8013.00,200.2.077,Digital Twins,200,Equipment Fault Diagnosis and Predictive Maintenance,2,077,Monitor the operating condition of giant hydropower units to detect anomalies and identify equipment faults.,Digital-twin-enabled condition monitoring with deep-learning-based anomaly detection and fault diagnosis,RAI,G,G,Human,Y (validation and response improve reliability),Y,8,"Multi-source sensors on turbine, generator, bearings, and auxiliary systems; DT platform; CNN–LSTM models; data preprocessing and visualization modules","Fault detection accuracy increased from ~74–80% (traditional) to ~90–96%; higher recall, F1, stability, and faster processing time than DAE-AT baseline",Requires large volumes of high-quality labeled data; performance may degrade with noisy or sparse data; real-time capability needs further optimization,"Wang, Wei; Feng, Lihang; Xi, Qiang; Liu, Feng",2025,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12331,"Examine and test electrical power distribution machinery and equipment, using testing devices.",51-8013.00,410.4.090,Robotics - ROV,410,Intelligent Security and Condition Monitoring,4,090,"Patrol and inspect substation equipment to monitor operational status, identify overheating, and detect abnormal equipment conditions.",Autonomous mobile inspection robots with visual and infrared sensing,RAI,G,G,Human,O/Y,O,8.5,"Wheeled robots, infrared thermography, visible-light cameras, navigation and localization systems, substation data centers",Widespread deployment (>400 robots in >900 substations); enabled continuous inspection and unattended substation operation,Navigation robustness and perception accuracy affected by environmental complexity; integration with legacy systems required,Wang et al. 2011; Li et al. 2014; Su 2015,2015,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12331,"Examine and test electrical power distribution machinery and equipment, using testing devices.",51-8013.00,420.4.053,Robotics - ROV,420,Intelligent Security and Condition Monitoring,4,053,"Inspect hydropower generation equipment and structures to identify physical defects, wear, or abnormal conditions without requiring human entry into hazardous environments.",Robotic inspection systems with remote operation and sensor-based perception,Human,O/Y,O,RAI,O/Y,O,2,"Inspection robots (crawler, legged, underwater), visual cameras, infrared sensors, sonar, remote control stations","Robots enabled in-situ inspection of generators, dams, and underwater structures, reducing the need for shutdowns and manual inspection",Limited autonomy; many systems rely on tele-operation; deployment constrained by complex geometries and harsh environments,Wu 2014; Liu et al. 2011; Li et al. 2014; Li et al. 2016,2016,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,124.2.072,Artificial Neural Network (ANN),124,Equipment Fault Diagnosis and Predictive Maintenance,2,072,Monitor hydropower plant operating conditions to detect and classify abnormal equipment behavior for predictive maintenance.,Machine-learning-based anomaly detection and multi-class fault classification using supervised and recurrent models,RAI,G,G,Human,"Y (configuration, interpretation, and validation improve reliability)",Y,8,"SCADA time-series data; sensors on turbine, generator, and hydraulic power unit (18 variables incl. pressures, temperatures, voltages, currents, power); Python (Pandas, NumPy, TensorFlow); DNN and LSTM models",Feed-forward NN achieved ~70% accuracy overall; LSTM achieved >90% training accuracy and ~88% validation accuracy; near-perfect detection (~99%) for generator axial bearing temperature failures,Performance varies across fault types; class imbalance required oversampling; evaluated on a single plant and historical data,"Velasquez, V.; Flores Castro, W.",NA,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,100.4.071,Artificial Intelligence (AI),100,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,"Data-driven condition monitoring using ANN, SOM, and fuzzy logic",RAI,G,G,Human,O/Y,O,8.5,"Plant-mounted sensors, SCADA or equivalent monitoring systems, historical operational data",Reviewed studies report improved identification of abnormal operating regimes and early degradation indicators compared with manual monitoring,Mostly indirect validation; limited availability of labeled fault data; thresholds often expert-defined,Jain et al. 2018; Selak et al. 2014; Betti et al. 2021; Li et al. 2018,2021,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,124.4.071,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,"AI-based monitoring and control support (ANN, fuzzy logic controllers, SOM)",Human,G,G,RAI,G,G,1,"Sensors, SCADA systems, ANN/FLC controllers, monitoring dashboards","Reviewed applications indicate improved stability, early abnormality recognition, and better part-load operation",Monitoring often requires expert interpretation; limited autonomous fault handling,"Kumar, K.; Saini, R.P.",2021,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,124.4.070,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,070,Monitor hydropower plant assets to identify abnormal operating conditions and deviations from expected performance.,"Condition-Based Monitoring (CBM) using statistical, AI, and hybrid analytics",RAI,O,O,Human,O,O,3,"Vibration, temperature, pressure, electrical sensors; DAQ systems; SCADA integration",Many studies report anomaly detection accuracy >90% for specific components,"Effectiveness depends on sensor coverage, data quality, and operating regime",Lei et al. (2018); Jardine et al. (2006); Tidriri et al. (2016),2018,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,124.2.020,Artificial Neural Network (ANN),124,Equipment Fault Diagnosis and Predictive Maintenance,2,020,Detect incipient failures in hydropower equipment using operational and condition data.,"Data-driven fault detection (PCA, ANN, autoencoders, isolation forests)",RAI,O,O,Human,O,O,3,Time-series analytics pipelines; feature extraction; ML models,Precision often reported between 95–100% in controlled case studies,Poor generalization across plants; sensitivity to noise and concept drift,Widodo & Yang (2007); Zhao et al. (2019); Chen et al. (2020),2020,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,120.4.071,Machine Learning (ML),120,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,Anomaly detection using statistical and AI-based monitoring techniques,RAI,O,O,Human,O (validation and response required),O,3,Time-series data; anomaly detection algorithms; monitoring dashboards,Enables identification of deviations from normal operating patterns (qualitative evidence),Requires baseline definition; limited generalization across plants,"Vagnoni, E.; Gezer, D.; Anagnostopoulos, I.; Cavazzini, G.; Doujak, E.; Hočevar, M.; Rudolf, P.",2024,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,300.4.098,Internet of Things (IoT),300,Intelligent Security and Condition Monitoring,4,098,Provide real-time equipment condition data to remote control centers to support off-site supervision of hydropower plant operations.,Connected monitoring and remote-access systems (IoT-like supervisory connectivity),Human,G,G,RAI,G,G,1,"Plant monitoring systems, communication infrastructure, centralized SCADA/control centers",NA,"Effectiveness depends on network robustness, cybersecurity, and operator training
","Leguizamon-Perilla, A.; Rodriguez-Bernal, J.S.; Moralez-Cruz, L.; Farfán-Martinez, N.I.; Nieto-Londoño, C.; Vásquez, R.E.; Escudero-Atehortua, A.",2023,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,410.4.090,Robotics - ROV,410,Intelligent Security and Condition Monitoring,4,090,"Patrol and inspect substation equipment to monitor operational status, identify overheating, and detect abnormal equipment conditions.",Autonomous mobile inspection robots with visual and infrared sensing,RAI,G,G,Human,O/Y,O,8.5,"Wheeled robots, infrared thermography, visible-light cameras, navigation and localization systems, substation data centers",Widespread deployment (>400 robots in >900 substations); enabled continuous inspection and unattended substation operation,Navigation robustness and perception accuracy affected by environmental complexity; integration with legacy systems required,Wang et al. 2011; Li et al. 2014; Su 2015,2015,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,124.4.074,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,074,Monitor operating condition of large hydrogenerators by detecting abnormal patterns in electrical and mechanical signals.,AI-based anomaly detection using unsupervised deep learning (variational autoencoder),RAI,G,G,Human,Y(interpretation improves reliability),Y,8,"Non-invasive sensors (stray flux, vibration); signal preprocessing; VAE implemented in Python; high-performance workstation (multi-core CPU, large RAM)","VAE detected 100% of ITSC fault cases in case studies and showed higher sensitivity than RMS-based monitoring, identifying faults at earlier stages",Requires high-quality sensor data; thresholds for reconstruction error still require expert calibration,"Bechara, Helene; Ibrahim, Rony; Tahan, Antoine; Zemouri, Ryad; Merkhouf, Arezki; Kedjar, Bachir; Al-Haddad, Kamal",2024,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,100.2.021,Artificial Intelligence (AI),100,Equipment Fault Diagnosis and Predictive Maintenance,2,021,Detect operating conditions consistent with equipment faults in hydropower plants to support timely maintenance response.,Unsupervised machine-learning–based fault and anomaly detection combined with multivariate statistical monitoring,RAI,G,G,Human,O (expert validation required before action),O,7,"• Plant-mounted sensors measuring vibration, bearing metal temperature, bearing oil temperature, and active power
• Data acquisition and monitoring systems (e.g., SCADA or equivalent)
• Computing environment for continuous or periodic data analytics and model inference","• Successfully identified fault periods in two real hydropower plants using operational data
• Fault indicators exceeded control limits during known fault events, aligning with manually recorded maintenance logs
• In some cases, abnormal conditions were detected hours before manual fault recognition","• Validation limited to two plants and a relatively short observation period
• Requires representative nominal (fault-free) data for training
• Does not identify physical root causes or specific faulty components
• Final fault confirmation and maintenance decisions remain human-driven","Hajimohammadali, F.; Fontana, N.; Tucci, M.; Crisostomi, E.",2023,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,122.2.076,Unsupervised ML,122,Equipment Fault Diagnosis and Predictive Maintenance,2,076,Monitor operating conditions of hydropower plant equipment to detect deviations from nominal behavior.,Unsupervised machine-learning-based condition monitoring using a self-organizing map (SOM)–derived key performance indicator (KPI),RAI,G,G,Human,Y(validation and response improve reliability),Y,8,Large-scale sensor networks (≈600 analog signals); SCADA data; SOM neural network; KPI computation and thresholding; online monitoring infrastructure,"Detected >20 anomalous situations over ~16 months; identified anomalies earlier than Hotelling T² charts, in one case by ~20 days",Requires extensive data preprocessing; KPI thresholds require operator feedback; not fully unsupervised,"Betti, A.; Crisostomi, E.; Paolinelli, G.; Piazzi, A.; Ruffini, F.; Tucci, M.",2021,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12329,"Place standby emergency electrical generators on line in emergencies and monitor the temperature, output, and lubrication of the system.",51-8013.00,300.2.078,Internet of Things (IoT),300,Equipment Fault Diagnosis and Predictive Maintenance,2,078,Monitor the operating condition of rotating machinery to identify early signs of wear or failure.,Condition monitoring using sensor-based data and analytics,RAI,O,O,Human,O (interpretation and decisions required),O,3,"Sensors (vibration, temperature, pressure); SCADA systems; data acquisition and analytics platforms",Supports early fault detection and condition awareness (qualitative evidence across cases),Data quality and sensor placement strongly affect reliability; false positives possible,"Vagnoni, E.; Gezer, D.; Anagnostopoulos, I.; Cavazzini, G.; Doujak, E.; Hočevar, M.; Rudolf, P.",2024,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12328,"Control generator output to match the phase, frequency, or voltage of electricity supplied to panels.",51-8013.00,200.1.002,Digital Twins,200,Energy Management and Market-Oriented Optimization,1,002,Adjust turbine operating parameters in real time to regulate power output and rotational speed in response to grid frequency variations.,"Digital speed governors and control algorithms (e.g., RDF12©)",RAI,G,G,Human,Y,Y,8,"Digital speed governor; turbine sensors (speed, pressure); control logic implemented in plant automation systems","Overspeed reduced (e.g., 123% vs. 128.7%); smoother transient behavior; avoidance of rotor uplift during load rejection",Requires plant-specific tuning; effectiveness depends on accurate hydraulic modeling,"Quaranta, E.et al.",2020,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12328,"Control generator output to match the phase, frequency, or voltage of electricity supplied to panels.",51-8013.00,124.4.074,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,074,Monitor operating condition of large hydrogenerators by detecting abnormal patterns in electrical and mechanical signals.,AI-based anomaly detection using unsupervised deep learning (variational autoencoder),RAI,G,G,Human,Y(interpretation improves reliability),Y,8,"Non-invasive sensors (stray flux, vibration); signal preprocessing; VAE implemented in Python; high-performance workstation (multi-core CPU, large RAM)","VAE detected 100% of ITSC fault cases in case studies and showed higher sensitivity than RMS-based monitoring, identifying faults at earlier stages",Requires high-quality sensor data; thresholds for reconstruction error still require expert calibration,"Bechara, Helene; Ibrahim, Rony; Tahan, Antoine; Zemouri, Ryad; Merkhouf, Arezki; Kedjar, Bachir; Al-Haddad, Kamal",2024,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12324,"Record and compile operational data by completing and maintaining forms, logs, or reports.",51-8013.00,300.2.013,Internet of Things (IoT),300,Equipment Fault Diagnosis and Predictive Maintenance,2,013,Collect and log structural and operational data to support maintenance planning and asset management.,Digital data acquisition and asset information management systems,Human,G,G,RAI,G (automation improves efficiency and consistency),G,1,Structural sensors; operational logs; databases; asset management software,Improves traceability and availability of asset condition information,Does not itself diagnose faults; value depends on data governance and integration,"Vagnoni, E.; Gezer, D.; Anagnostopoulos, I.; Cavazzini, G.; Doujak, E.; Hočevar, M.; Rudolf, P.",2024,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12324,"Record and compile operational data by completing and maintaining forms, logs, or reports.",51-8013.00,420.2.199,ROV,420,Equipment Fault Diagnosis and Predictive Maintenance,2,199,Report generation and digital workflow,NA,RAI,G,G,Human,G,G,8,NA,NA,NA,NA,NA,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12324,"Record and compile operational data by completing and maintaining forms, logs, or reports.",51-8013.00,124.2.103,LLM,124,Equipment Fault Diagnosis and Predictive Maintenance,2,103,"Support equipment operation and maintenance by generating explanations, reports, and responses based on hydropower operational data and documentation.","Natural-language generation for report writing, documentation support, and intelligent recommendation",Human,G,G,RAI,G (efficiency and consistency),G,1,"LLM fine-tuned on enterprise technical specifications, operation manuals, and management regulations","Demonstrated ability to generate reports, explanations, and responses aligned with hydropower domain knowledge",Generated content requires human review; no direct linkage to physical system control,"Zhu, Jia; Zhang, Leifang; Lu, Jianxiong; Wu, Xuelu; Wei, Caiyun",2024,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12324,"Record and compile operational data by completing and maintaining forms, logs, or reports.",51-8013.00,124.4.070,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,070,Monitor hydropower plant assets to identify abnormal operating conditions and deviations from expected performance.,"Condition-Based Monitoring (CBM) using statistical, AI, and hybrid analytics",RAI,O,O,Human,O,O,3,"Vibration, temperature, pressure, electrical sensors; DAQ systems; SCADA integration",Many studies report anomaly detection accuracy >90% for specific components,"Effectiveness depends on sensor coverage, data quality, and operating regime",Lei et al. (2018); Jardine et al. (2006); Tidriri et al. (2016),2018,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12324,"Record and compile operational data by completing and maintaining forms, logs, or reports.",51-8013.00,120.4.071,Machine Learning (ML),120,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,Anomaly detection using statistical and AI-based monitoring techniques,RAI,O,O,Human,O (validation and response required),O,3,Time-series data; anomaly detection algorithms; monitoring dashboards,Enables identification of deviations from normal operating patterns (qualitative evidence),Requires baseline definition; limited generalization across plants,"Vagnoni, E.; Gezer, D.; Anagnostopoulos, I.; Cavazzini, G.; Doujak, E.; Hočevar, M.; Rudolf, P.",2024,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12324,"Record and compile operational data by completing and maintaining forms, logs, or reports.",51-8013.00,100.4.071,Artificial Intelligence (AI),100,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,"Data-driven condition monitoring using ANN, SOM, and fuzzy logic",RAI,G,G,Human,O/Y,O,8.5,"Plant-mounted sensors, SCADA or equivalent monitoring systems, historical operational data",Reviewed studies report improved identification of abnormal operating regimes and early degradation indicators compared with manual monitoring,Mostly indirect validation; limited availability of labeled fault data; thresholds often expert-defined,Jain et al. 2018; Selak et al. 2014; Betti et al. 2021; Li et al. 2018,2021,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12324,"Record and compile operational data by completing and maintaining forms, logs, or reports.",51-8013.00,124.4.071,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,"AI-based monitoring and control support (ANN, fuzzy logic controllers, SOM)",Human,G,G,RAI,G,G,1,"Sensors, SCADA systems, ANN/FLC controllers, monitoring dashboards","Reviewed applications indicate improved stability, early abnormality recognition, and better part-load operation",Monitoring often requires expert interpretation; limited autonomous fault handling,"Kumar, K.; Saini, R.P.",2021,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
12324,"Record and compile operational data by completing and maintaining forms, logs, or reports.",51-8013.00,430.2.141,Crawler,430,Equipment Fault Diagnosis and Predictive Maintenance,2,141,Post‑mission reporting and anomaly tagging,NA,RAI,O,O,Human,G,G,4,NA,NA,NA,NA,NA,Hydropower Plant Operator,Power Plant Operators,Hydropower Plant Operator
